商品ID,商品名稱,借/採,儲位,儲位庫存數,庫齡,區編,區名,館編,館名,長(cm),寬(cm),高(cm),重量(kg),(近)月銷量,(近)月-有揀貨單天數,(近)90日銷量,(近)90日-有揀貨單天數,供應商ID,供應商名稱,所屬PM,總庫存數,總庫存_迴轉天數,才數,材積別,樓層,儲位型態,大區編,大區名,儲位才數,儲位健康度,材積判斷,總才數,人工/自動,庫齡級距,重型架判斷
DAAAB6-A9007GTD3-000,DENTISTE’ 牙醫選天然口腔保健液(700ml/瓶),借,80M19071D,3,82,DAAL,牙膏牙刷漱口水,DAAL0P,成人漱口水,21,10,5,0.77,0,0,1,0,29395,康熙,黃郁萍,3,99999,0.038888889,1,7F,AGV層架,DA,日用品,7.111111111,0.214302083,小材積,0.116666667,人工倉,<半年,AGV層架
DAAACN-A900IHN6Q-000,NEWART 新技 活氧茶樹頭皮保護液40ml,借,80M53057D,2,380,DMAH,美容家電,DMAH35,美容家電贈品專區,13,3,13,0.57,0,0,0,0,37838,新技,蔡雅婷,2,99999,0.018777778,1,7F,AGV層架,DM,家電,5.333333333,0.063291667,小材積,0.037555556,人工倉,>=1年,AGV層架
DAAB16-A900GEQVB-001,好自在隱型清新/透氣護墊 淡香/自然無香40片,採,80M51001E,10,87,DAAB,衛生棉,DAAB8R,護墊,7,7,6,0.04,48,0,105,0,32564,永豐商店,王睦凱,10,0.21,0.010888889,1,7F,AGV層架,DA,日用品,7.111111111,0.0153125,小材積,0.108888889,人工倉,<半年,AGV層架
DAAB16-A900JUGQE-001,好自在 無痕早安褲/無痕奢柔褲/熊抱安睡褲,採,80N27005E,10,16,DAAB,衛生棉,DAAB16,好自在 whisper,29,20,25,1,12,0,46,0,32564,永豐商店,王睦凱,36,3,0.537037037,2,7F,重型層架,DA,日用品,45.51111111,0.118001302,小材積,5.37037037,人工倉,<半年,重型層架
DAAB16-A900K377N-000,whisper 好自在 Air-Dry 草本健康衛生棉(量大28cm 10片+輕量18cm 12片),借,80N24060E,384,87,DAAB,衛生棉,DAAB16,好自在 whisper,17,9,10,0.12,89,0,176,0,32564,永豐商店,王睦凱,400,4.49,0.056666667,1,7F,重型層架,DA,日用品,45.51111111,0.478125,小材積,21.76,人工倉,<半年,重型層架
DAAB1Q-A900A1T5G-000,蕾妮亞 私密肌屏護系列 私密肌潔淨慕絲150ml,借,80M46079C,3,96,DDDF,私密保養,DDDF0B,私密清潔,12,10,3,0.15,8,0,21,0,33534,八達網,黃郁萍,3,0.38,0.013333333,1,7F,AGV層架,DD,保養,7.111111111,0.159359375,小材積,0.04,人工倉,<半年,AGV層架
DAAB22-A900GDI4C-002,蘇菲 超熟睡 內褲型衛生棉 M / L / XL (2片 x 12包) 箱購,借,80N23034B,34,42,DAAB,衛生棉,DAABA0,褲型衛生棉,47,32,21,1.14,45,0,131,0,30595,欣新網,王睦凱,75,1.67,1.169777778,5,7F,重型層架,DA,日用品,39.82222222,0.99875,小材積,39.77244444,人工倉,<半年,重型層架-低
DAAB22-A900GDI4C-003,蘇菲 超熟睡 內褲型衛生棉 M / L / XL (2片 x 12包) 箱購,借,80P08642X,10,7,DAAB,衛生棉,DAABA0,褲型衛生棉,41,25,18,1.14,76,0,216,0,30595,欣新網,王睦凱,130,1.71,0.683333333,2,1F,自動化板式,DA,日用品,46.66666667,0.146428571,小材積,6.833333333,自動化,<半年,自動化板式
DAAB27-A21513934-000,《情人》平版衛生紙300張x6包,借,80M30078E,2,102,DAAG,衛生紙  ,DAAG00,平版衛生紙,44,17,42,1.3,17,0,39,0,26091,正隆,王睦凱,63,3.71,1.163555556,5,7F,AGV層架,DA,日用品,7.111111111,0.32725,小材積,2.327111111,人工倉,<半年,AGV層架
DAAB27-A21513934-000,《情人》平版衛生紙300張x6包,借,80N48047C,24,41,DAAG,衛生紙  ,DAAG00,平版衛生紙,44,17,42,1.3,17,0,39,0,26091,正隆,王睦凱,63,3.71,1.163555556,5,7F,重型層架,DA,日用品,45.51111111,0.61359375,小材積,27.92533333,人工倉,<半年,重型層架
DAAB27-A21521030-000,《春風》大捲筒衛生紙（0.7 kg*3捲）,借,80M53080E,1,101,DAAG,衛生紙  ,DAAG2Z,大捲筒,23,23,30,2.2,18,0,74,0,26091,正隆,王睦凱,37,2.06,0.587777778,2,7F,AGV層架,DA,日用品,7.111111111,0.08265625,小材積,0.587777778,人工倉,<半年,AGV層架
DAAB27-A21521030-000,《春風》大捲筒衛生紙（0.7 kg*3捲）,借,80N47050E,8,101,DAAG,衛生紙  ,DAAG2Z,大捲筒,23,23,30,2.2,18,0,74,0,26091,正隆,王睦凱,37,2.06,0.587777778,2,7F,重型層架,DA,日用品,45.51111111,0.197070313,小材積,4.702222222,人工倉,<半年,重型層架
DAAB3O-A900I7OC8-000,靠得住 產褥墊(20片x24包),採,80N11062E,6,126,DAAB,衛生棉,DAAB3O,產褥墊,65,42,37,11.17,9,0,18,0,40791,盟晉,王睦凱,8,0.89,3.741111111,6,7F,重型層架,DA,日用品,45.51111111,0.493212891,小材積,22.44666667,人工倉,<半年,重型層架
DAAB5W-A49549793-000,康乃馨-成人替換式尿片(32片x6包/箱),借,80N23029B,5,36,DAAU,成人紙尿褲,DAAU5L,替換式尿片,50,24,47,1.08,2,0,7,0,27613,康那香,翁安琪,5,2.5,2.088888889,6,7F,重型層架,DA,日用品,39.82222222,0.262276786,小材積,10.44444444,人工倉,<半年,重型層架-低
DAAB5W-A49549863-000,康乃馨-Double Care抗菌濕巾(20片x24包/箱),借,80N26019B,26,4,DAAT,濕紙巾,DAAT0K,一般型,24,24,18,3.9,47,0,86,0,27613,康那香,翁安琪,26,0.55,0.384,2,7F,重型層架,DA,日用品,39.82222222,0.250714286,小材積,9.984,人工倉,<半年,重型層架-低
DAAB8P-A900IYR8L-006,日本大王Natura 娜舒雅日夜用輕失禁吸水棉_5/15/30/50/85/130cc 任選1包,借,80M09077E,4,158,DAAU,成人紙尿褲,DAAU3K,防漏尿墊,23,15,10,0.28,0,0,2,0,31475,中化裕民,翁安琪,4,99999,0.127777778,1,7F,AGV層架,DA,日用品,7.111111111,0.135625,小材積,0.511111111,人工倉,<半年,AGV層架
DAAB8R-A900I7OIQ-002,靠得住 安全瞬吸/茶樹舒涼/草本抑 菌 護墊箱購任選,採,80N29041A,10,126,DAAB,衛生棉,DAAB8R,護墊,48,23,18,1.56,8,0,14,0,40791,盟晉,王睦凱,12,1.5,0.736,4,7F,重型層架,DA,日用品,39.82222222,0.68234747,小材積,7.36,人工倉,<半年,重型層架-低
DAABA0-A900I7O16-011,靠得住 晚安好眠褲/褲型衛生棉全系列  箱購,採,80P05658X,4,242,DAAB,衛生棉,DAABA0,褲型衛生棉,36,36,20,1.4,2,0,9,0,40791,盟晉,王睦凱,9,4.5,0.96,5,1F,自動化板式,DA,日用品,46.66666667,0.082285714,小材積,3.84,自動化,>=半年,自動化板式
DAAC06-A36909436-000,白博士廚房清潔劑600ml,借,80M39071C,3,15,DAAZ,家用清潔,DAAZ5N,白熊/白博士,7,7,26,0.66,125,0,310,0,26611,志成,李平卉,7,0.06,0.047185185,1,7F,AGV層架,DA,日用品,7.111111111,0.097602167,小材積,0.141555556,人工倉,<半年,AGV層架
DAAC07-A36786446-000,白博士地板除菌清潔劑2kg ,借,80N32033C,12,186,DAAZ,家用清潔,DAAZ46,地板清潔劑,27,19,8,2.2,13,0,34,0,26611,志成,李平卉,14,1.08,0.152,1,7F,重型層架,DA,日用品,45.51111111,0.177480469,小材積,1.824,人工倉,>=半年,重型層架
DAAC09-A05709939-000,《妙潔》無心捲筒清潔袋SXL,借,80M52081C,1,113,DAAC,掃除用具,DAAC09,垃圾袋,23,7,7,0.51,10,0,63,0,12388,脫普聚益,劉翔名,1,0.1,0.041740741,1,7F,AGV層架,DA,日用品,7.111111111,0.059151042,小材積,0.041740741,人工倉,<半年,AGV層架
DAAC0A-A900H852A-000,【AHOYE】32cm麥飯石不沾炒菜鍋 (鍋具 炒鍋 不沾炒鍋 深炒鍋),借,80L47005C,1,112,DEAW,鍋具,DEAWN3,不沾炒鍋,50,42,12,1.02,2,0,2,0,31700,亞桓,陳威廷,1,0.5,0.933333333,5,6F,AGV層架,DE,生活育樂,7.111111111,0.87271875,小材積,0.933333333,人工倉,<半年,AGV層架
DAAC0A-A900HCFRN-002,【AHOYE】EVA防塵墊 60*150公分 (餐墊 防油墊 抽屜墊 櫥櫃墊),借,80K04071A,5,204,DEAZ,家飾,DEAZK0,餐桌用品,65,11,3,0.33,0,0,2,0,31700,亞桓,林貝琪,5,99999,0.079444444,4,6F,重型層架,DE,生活育樂,18.48888889,0.437772436,小材積,0.397222222,人工倉,>=半年,重型層架-低
DAAC0A-A900HFDE2-000,【AHOYE】可摺疊便攜式全罩嬰兒蚊帳 0-4歲試用 (蒙古包 摺疊蚊帳),借,80K03069B,1,93,DEAZ,家飾,DEAZQ6,蚊帳,60,49,2,0.48,0,0,0,0,31700,亞桓,林貝琪,1,99999,0.217777778,5,6F,重型層架,DE,生活育樂,18.48888889,0.230404647,小材積,0.217777778,人工倉,<半年,重型層架-低
DAAC0A-A900ID00H-000,【AHOYE】大容量開放式三層秒收納鞋櫃 (床底鞋櫃 鞋子收納架 拖鞋架),借,80D05031B,3,93,DQCD,櫃子/層架,DQCD0C,鞋櫃/鞋架 ,51,39,5,0.5,0,0,2,0,31700,亞桓,余燦翎,3,99999,0.368333333,5,2F西,重型層架,DQ,居家,31.28888889,0.529979877,小材積,1.105,人工倉,<半年,重型層架-低
DAAC0A-A900ILEC0-000,【AHOYE】多色獨立分類夾硬殼整理盒 (收納盒 置物盒 飾品盒 照片收納),借,80D04028B,8,155,DQAU,收納用品,DQAU53,化妝收納,25,25,19,0.88,0,0,0,0,31700,亞桓,王瑋婷,8,99999,0.439814815,2,2F西,重型層架,DQ,居家,31.28888889,0.181766098,小材積,3.518518519,人工倉,<半年,重型層架-低
DAAC0A-A900IVA7Q-001,【AHOYE】加大加寬無膠靜電玻璃貼 70X300CM 1入  (窗貼 靜電貼),借,80L51004B,2,172,DEAZ,家飾,DEAZQM,裝飾壁貼/玻璃貼,60,50,5,0.58,1,0,7,0,31700,亞桓,林貝琪,2,2,0.555555556,5,6F,AGV層架,DE,生活育樂,7.111111111,0.1685,小材積,1.111111111,人工倉,<半年,AGV層架
DAAC0A-A900K5W7H-000,【GRAB-A-RAG】超細纖維拭布每盒80抽(148155),採,80N52046B,50,58,DAAC,掃除用具,DAAC0A,抹布,29.5,15,20,1.57,20,0,21,0,27548,智億國際,劉翔名,51,2.55,0.327777778,2,7F,重型層架,DA,日用品,39.82222222,0.411551339,小材積,16.38888889,人工倉,<半年,重型層架-低
DAAC0B-A900JZFV0-000,《KELA》Fabio立式捲筒衛生紙架+馬桶刷(墨黑),借,80Q66004B,2,116,DAAC,掃除用具,DAAC0B,馬桶刷,63,20,10,2.28,0,0,0,0,25927,喜平方,劉翔名,2,99999,0.466666667,5,8F,AGV層架,DA,日用品,7.111111111,0.18440625,小材積,0.933333333,人工倉,<半年,AGV層架
DAAC0C-A24908230-000,清潔大師掃把畚斗組,借,80N16013B,15,2,DAAC,掃除用具,DAACBG,家用掃把,7,20,75,0.57,3,0,3,0,36714,生活大師,劉翔名,15,5,0.388888889,5,7F,重型層架,DA,日用品,39.82222222,0.356886161,小材積,5.833333333,人工倉,<半年,重型層架-低
DAAC0C-A900HY636-000,妙潔 大魔淨免手洗刮淨平拖,借,80M49058E,7,110,DAAC,掃除用具,DAAC0C,平板拖把,18,8,82,1.14,0,0,1,0,12388,脫普聚益,劉翔名,7,99999,0.437333333,5,7F,AGV層架,DA,日用品,5.333333333,0.574,小材積,3.061333333,人工倉,<半年,AGV層架
DAAC0C-A900HY6GT-000,妙潔 大魔淨免手洗刮淨平拖 替換布,借,80M53082C,11,113,DAAC,掃除用具,DAAC0C,平板拖把,50,15,1,0.04,1,0,2,0,12388,脫普聚益,劉翔名,11,11,0.027777778,4,7F,AGV層架,DA,日用品,7.111111111,0.1428125,小材積,0.305555556,人工倉,<半年,AGV層架
DAAC0C-A900IFYA3-000,棉花田噴霧式乾溼二用拖把(35x11x121cm),借,80N24064B,2,103,DAAC,掃除用具,DAAC0C,平板拖把,63,11,9,0.56,1,0,1,0,27245,螺旋,劉翔名,2,2,0.231,4,7F,重型層架,DA,日用品,39.82222222,0.144737723,小材積,0.462,人工倉,<半年,重型層架-低
DAAC0J-A9008MCGL-000,【驅塵氏】吸水膠棉拖,借,80N49049B,41,7,DAAC,掃除用具,DAACD2,膠棉拖把,88,31,3,0.73,38,0,120,0,13259,花仙子,劉翔名,41,1.08,0.303111111,6,7F,重型層架,DA,日用品,39.82222222,0.312075893,小材積,12.42755556,人工倉,<半年,重型層架-低
DAAC0J-A900GDB8B-001,【驅塵氏】抗菌濕拖巾(12張/包 12包/箱)~箱購,借,80N21006C,12,28,DAAC,掃除用具,DAACBK,除塵紙/濕拖巾,21,12,15,4.41,36,0,83,0,13259,花仙子,劉翔名,18,0.5,0.14,1,7F,重型層架,DA,日用品,45.51111111,0.052294922,小材積,1.68,人工倉,<半年,重型層架
DAAC0S-A46802105-000,毛寶香滿室中性地板清潔劑(薰衣草)_補充包1800g(6入一箱),借,80N24031A,2,4,DAAZ,家用清潔,DAAZ7Q,毛寶,36,34,32,11.8,3,0,4,0,11503,毛寶 台北分公司,李平卉,2,0.67,1.450666667,5,7F,重型層架,DA,日用品,39.82222222,0.174709821,小材積,2.901333333,人工倉,<半年,重型層架-低
DAAC0X-A900A4U5W-000,妙潔 大板拖淨效去污布,借,80M44080E,12,22,DAAC,掃除用具,DAAC0C,平板拖把,16,5,106,0.56,2,0,21,0,12388,脫普聚益,劉翔名,17,8.5,0.314074074,6,7F,AGV層架,DA,日用品,7.111111111,0.53,小材積,3.768888889,人工倉,<半年,AGV層架
DAAC0X-A900GM9YU-000,妙潔免手洗刮淨平拖,借,80Q84005C,1,113,DAAC,掃除用具,DAAC0C,平板拖把,16,10,56,1,5,0,23,0,12388,脫普聚益,劉翔名,17,3.4,0.331851852,4,8F,AGV層架,DA,日用品,7.111111111,0.046666667,小材積,0.331851852,人工倉,<半年,AGV層架
DAAC14-A13623591-000,《妙管家》強效洗衣粉4.5kg,借,80M26072A,6,94,DAAK,洗衣精,DAAK06,洗衣粉,48,30,8,4.56,24,0,48,0,11441,妙管家,李平卉,22,0.92,0.426666667,4,7F,AGV層架,DA,日用品,7.111111111,0.36,小材積,2.56,人工倉,<半年,AGV層架
DAAC14-A13623591-000,《妙管家》強效洗衣粉4.5kg,借,80N47062D,16,94,DAAK,洗衣精,DAAK06,洗衣粉,48,30,8,4.56,24,0,48,0,11441,妙管家,李平卉,22,0.92,0.426666667,4,7F,重型層架,DA,日用品,45.51111111,0.15,小材積,6.826666667,人工倉,<半年,重型層架
DAAC14-A17477617-000,《妙管家》活氧洗衣粉4.5kg,借,80M14078A,3,23,DAAK,洗衣精,DAAK06,洗衣粉,33,18,10,4.5,7,0,32,0,11441,妙管家,李平卉,31,4.43,0.22,2,7F,AGV層架,DA,日用品,7.111111111,0.281234375,小材積,0.66,人工倉,<半年,AGV層架
DAAC14-A17477617-000,《妙管家》活氧洗衣粉4.5kg,借,80N47050C,28,23,DAAK,洗衣精,DAAK06,洗衣粉,33,18,10,4.5,7,0,32,0,11441,妙管家,李平卉,31,4.43,0.22,2,7F,重型層架,DA,日用品,45.51111111,0.384960938,小材積,6.16,人工倉,<半年,重型層架
DAAC1D-A900IDZ30-000,《Umbra》Venti大容量搖擺蓋垃圾桶(黑銀62L),借,80N07037C,1,431,DAAC,掃除用具,DAAC1D,垃圾桶,40,38,78,3.7,0,0,0,0,25927,喜平方,劉翔名,1,99999,4.391111111,7,7F,重型層架,DA,日用品,45.51111111,0.405020752,大材積,4.391111111,人工倉,>=1年,重型層架
DAAC1D-A900K05V6-002,韓系可愛卡通垃圾桶,借,80Q64003F,2,112,DAAC,掃除用具,DAAC1D,垃圾桶,35,25,25,1.29,1,0,1,0,38138,盈碩,劉翔名,2,2,0.810185185,2,8F,AGV層架,DA,日用品,7.111111111,0.532552083,小材積,1.62037037,人工倉,<半年,AGV層架
DAAC1G-A37712226-000,多益得貼紙剋星除膠劑(220cc/瓶),借,80M09072A,20,85,DQBD,塗料地板,DQBD2Y,外牆防水漆,18,5,5,0.21,7,0,46,0,10827,DOIT 多益得,許斯瑩,20,2.86,0.016666667,1,7F,AGV層架,DQ,居家,7.111111111,0.29959375,小材積,0.333333333,人工倉,<半年,AGV層架
DAAC4Z-A900K2S1A-000,好神拖 輕巧手壓旋轉拖 淨涼一夏豪禮開刮限定組,借,80C2A008D,28,33,DAAC,掃除用具,DAAC4Z,好神拖,46,31,31,2.25,233,0,443,0,26465,宥竑,劉翔名,352,1.51,1.637259259,5,2F東,落地儲位,DA,日用品,45.51111111,1.007298177,小材積,45.84325926,人工倉,<半年,落地儲位
DAAC6E-A900GY9FM-000,寶兒樂 無塵氏鳳梨酵素拭拖兩用布 12枚*12包-箱購,借,80N24004B,5,54,DEAK,寵物用品,DEAKQJ,寵物濕紙巾,36.5,21,14,2.85,0,0,0,0,27624,紳宇,楊宜臻,5,99999,0.397444444,2,7F,重型層架,DE,生活育樂,39.82222222,0.177776228,小材積,1.987222222,人工倉,<半年,重型層架-低
DAAC73-A74114605-000,一點絕2%凝膠餌劑(30g),借,80M53064A,14,3,DABE,除濕除蟲,DABE1B,殺蟑,23,5,3,0.08,146,0,373,0,27410,優勢數位,劉翔名,39,0.27,0.012777778,1,7F,AGV層架,DA,日用品,5.333333333,0.271284722,小材積,0.178888889,人工倉,<半年,AGV層架
DAAC73-A76365841-000,叮寧 防蚊液 120ml,借,80M24075C,18,52,DFAT,藥品護理,DFAT2U,防蚊液,16,5,4,0.15,3,0,78,0,26342,?溢,簡禕婷,18,6,0.011851852,1,7F,AGV層架,DF,保健,7.111111111,0.172348958,小材積,0.213333333,人工倉,<半年,AGV層架
DAACB4-A900HSWGB-000,【上手家居】電動水管疏通器 5m(通水管工具/通馬桶/通廚房/馬桶疏通器/管道疏通器/通水管神器),借,80K02061B,1,5,DAAC,掃除用具,DAACB4,馬桶疏通器,28,20,19,1.6,15,0,28,0,36420,野序,劉翔名,1,0.07,0.394074074,2,6F,重型層架,DA,日用品,18.48888889,0.506011619,小材積,0.394074074,人工倉,<半年,重型層架-低
DAAG01-A9005BH6K-000,可麗舒 廚房紙巾 (60張x6捲/串),採,80P00506X,72,159,DAAG,衛生紙  ,DAAG03,廚房紙巾,32,22,23,0.72,273,0,1190,0,41321,金百利克拉克,王睦凱,1208,4.42,0.599703704,2,1F,自動化板式,DA,日用品,46.66666667,0.925257143,小材積,43.17866667,自動化,<半年,自動化板式
DAAG01-A900HTOCO-000,可立雅 柔感抽取衛生紙 100抽x20包/串,採,80P05431X,16,144,DAAG,衛生紙  ,DAAG01,抽取衛生紙,42,37,19,2.19,22,0,66,0,41321,金百利克拉克,王睦凱,70,3.18,1.093555556,5,1F,自動化板式,DA,日用品,46.66666667,0.374933333,小材積,17.49688889,自動化,<半年,自動化板式
DAAG01-A900J4FBS-000,BOXMAN超輕柔抽取式衛生紙150抽12包,採,80M50005E,1,290,DBAY,泡麵,DBAY4R,統一,38,47,9,1.8,0,0,0,0,33734,菁弘,莊竣傑,106,99999,0.595333333,5,7F,AGV層架,DB,食品飲料,7.111111111,0.134978438,小材積,0.595333333,人工倉,>=半年,AGV層架
DAAG01-A900J4FBS-000,BOXMAN超輕柔抽取式衛生紙150抽12包,採,80P00964X,21,215,DBAY,泡麵,DBAY4R,統一,38,47,9,1.8,0,0,0,0,33734,菁弘,莊竣傑,106,99999,0.595333333,5,1F,自動化板式,DB,食品飲料,46.66666667,0.2679,小材積,12.502,自動化,>=半年,自動化板式
DAAG01-A900J5DYG-001,Tempo奢柔四層抽取式衛生紙80抽-無香 (10包x5串) 箱購,採,80N27011C,8,30,DAAG,衛生紙  ,DAAG01,抽取衛生紙,51,39,39,10.17,32,0,85,0,40791,盟晉,王睦凱,26,0.81,2.873,6,7F,重型層架,DA,日用品,45.51111111,0.505019531,小材積,22.984,人工倉,<半年,重型層架
DAAG01-A900J5DYG-001,Tempo奢柔四層抽取式衛生紙80抽-無香 (10包x5串) 箱購,採,80P07038X,6,30,DAAG,衛生紙  ,DAAG01,抽取衛生紙,51,39,39,10.17,32,0,85,0,40791,盟晉,王睦凱,26,0.81,2.873,6,1F,自動化板式,DA,日用品,46.66666667,0.369385714,小材積,17.238,自動化,<半年,自動化板式
DAAG01-A900JXSYM-000,舒潔 棉柔舒適抽取衛生紙 (100抽x12包/串),採,80N17010C,54,5,DAAG,衛生紙  ,DAAG01,抽取衛生紙,50,20,20,1.44,293,0,391,0,41321,金百利克拉克,王睦凱,258,0.88,0.740740741,4,7F,重型層架,DA,日用品,45.51111111,0.87890625,小材積,40,人工倉,<半年,重型層架
